'p_name', 'phyto'
'p_initial',1
'p0',0.03
'Xcc',20
'R_growth',1
'fT_Method',1
'theta_growth',1.08
'T_std',20
'T_opt',28
'T_max',35
'lightModel',1
'I_K',10
'I_S',250
'KePHY',0.005
'f_pr',0.1
'R_resp',0.08
'theta_resp',1.08
'k_fres',0.8
'k_fdom',0.15
'salTol',0
'S_bep',2
'S_maxsp',35
'S_opt',0
'simDINUptake',1
'simDONUptake',0
'simNFixation',1
'simINDynamics',0
'N_o',0
'K_N',2
'X_ncon',0.12
'X_nmin',0.02
'X_nmax',0.12
'R_nuptake',0.02
'k_nfix',0.7
'R_nfix',0.035
'simDIPUptake',1
'simIPDynamics',0
'P_0',0
'K_P',0.05
'X_pcon',0.0005
'X_pmin',0.0005
'X_pmax',0.005
'R_puptake',0.001
'simSiUptake',0
'Si_0',0.3
'K_Si',2.5
'X_sicon',0.4
'w_p',-0.13
'c1',0.0020667
'c3',0.0003833
'f1',0.675
'f2',0.75
'd_phy', 1.00E-05
