time,FLOW,TEMP,SALT,TRC_tr1,TRC_age,NCS_ss1,NCS_ss2,OXY_oxy,CAR_dic,CAR_pH,CAR_ch4,CAR_ch4_bub,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP,BIV_filtfrac
2016-01-01,0.0835,8.7688,0,0,0,1,1,341.8857,75.7052,6.88,0.0075,0,120.9013,0.1663,0.1353,0.0806,0.0161,12.9218,18.7366,0.9404,1.8808,0.0107,0.2494,174.4439,8.4634,0.0962,18.7366,0,0,0,0,0,0,0,0,0,0
2016-01-02,0.0845,7.1722,0,0,0,1,1,355.5322,75.7186,6.88,0.0074,0,120.9013,0.1663,0.1362,0.0805,0.0161,12.9257,18.7423,0.9401,1.8802,0.0107,0.2503,174.4974,8.4611,0.0966,18.7423,0,0,0,0,0,0,0,0,0,0
2016-01-03,0.0825,6.7441,0,0,0,1,1,359.3529,75.732,6.88,0.0073,0,120.9013,0.1663,0.1371,0.0805,0.0161,12.9297,18.7481,0.9399,1.8797,0.0108,0.2512,174.551,8.4587,0.0969,18.7481,0,0,0,0,0,0,0,0,0,0
2016-01-04,0.0808,6.1186,0,0,0,1,1,365.0641,75.7454,6.88,0.0071,0,120.9013,0.1663,0.138,0.0804,0.0161,12.9337,18.7538,0.9396,1.8792,0.0108,0.2521,174.6045,8.4563,0.0972,18.7538,0,0,0,0,0,0,0,0,0,0
2016-01-05,0.078,4.7774,0,0,0,1,1,377.8482,75.7588,6.88,0.007,0,120.9013,0.1663,0.1389,0.0803,0.0161,12.9376,18.7596,0.9393,1.8787,0.0108,0.253,174.658,8.4539,0.0976,18.7596,0,0,0,0,0,0,0,0,0,0
2016-01-06,0.0753,4.3093,0,0,0,1,1,382.4913,75.7722,6.88,0.0069,0,120.9013,0.1663,0.1398,0.0803,0.0161,12.9416,18.7653,0.9391,1.8781,0.0109,0.2539,174.7115,8.4516,0.0979,18.7653,0,0,0,0,0,0,0,0,0,0
2016-01-07,0.0717,4.5655,0,0,0,1,1,379.9384,75.7856,6.88,0.0068,0,120.9013,0.1663,0.1407,0.0802,0.016,12.9456,18.7711,0.9388,1.8776,0.0109,0.2548,174.7651,8.4492,0.0983,18.7711,0,0,0,0,0,0,0,0,0,0
2016-01-08,0.0683,5.0096,0,0,0,1,1,375.581,75.799,6.88,0.0066,0,120.9013,0.1663,0.1416,0.0801,0.016,12.9495,18.7768,0.9385,1.8771,0.011,0.2557,174.8186,8.4468,0.0986,18.7768,0,0,0,0,0,0,0,0,0,0
2016-01-09,0.0672,5.723,0,0,0,1,1,368.7569,75.8124,6.88,0.0065,0,120.9013,0.1663,0.1425,0.0801,0.016,12.9535,18.7826,0.9383,1.8765,0.011,0.2566,174.8721,8.4444,0.099,18.7826,0,0,0,0,0,0,0,0,0,0
2016-01-10,0.0798,6.1717,0,0,0,1,1,364.573,75.8258,6.88,0.0064,0,120.9013,0.1663,0.1434,0.08,0.016,12.9575,18.7883,0.938,1.876,0.011,0.2575,174.9257,8.4421,0.0993,18.7883,0,0,0,0,0,0,0,0,0,0
2016-01-11,0.0793,4.1719,0,0,0,1,1,383.8726,75.8392,6.88,0.0062,0,120.9013,0.1663,0.1443,0.0799,0.016,12.9614,18.7941,0.9377,1.8755,0.0111,0.2584,174.9792,8.4397,0.0996,18.7941,0,0,0,0,0,0,0,0,0,0
2016-01-12,0.0762,3.9948,0,0,0,1,1,385.6653,75.8526,6.88,0.0064,0,120.9013,0.1663,0.1452,0.0799,0.016,12.9654,18.7998,0.9375,1.875,0.0111,0.2592,175.0327,8.4373,0.1,18.7998,0,0,0,0,0,0,0,0,0,0
