time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2016-01-01 00:00:00,8.59,0,296.23,68.6,2.33,0,0
2016-01-01 01:00:00,8.09,0,299.1,70.98,3.64,0,0
2016-01-01 02:00:00,7.56,0,295.59,70.34,1.83,0,0
2016-01-01 03:00:00,7.05,0,284.63,71.25,2.56,0,0
2016-01-01 04:00:00,6.86,0,287.12,68.77,3.93,0,0
2016-01-01 05:00:00,6.63,0,285.37,66.2,2.58,0,0
2016-01-01 06:00:00,6.22,0,289.76,67.99,3.24,0,0
2016-01-01 07:00:00,5.87,0,290.89,67.71,2.84,0,0
2016-01-01 08:00:00,5.26,0,297.35,71.46,1.69,0,0
2016-01-01 09:00:00,4.78,0,290.52,72.5,3.42,0,0
2016-01-01 10:00:00,4.07,0,278.52,71.49,2,0,0
2016-01-01 11:00:00,3.59,0,291.72,72.47,2.12,0,0
2016-01-01 12:00:00,3.31,0,269.56,74.35,2.51,0,0
2016-01-01 13:00:00,3.19,1.54,294.25,73.01,2.46,0,0
2016-01-01 14:00:00,3.45,28.04,301.23,70.36,6.2,0,0
2016-01-01 15:00:00,3.47,77.73,299.33,68.41,5,0,0
2016-01-01 16:00:00,3.76,175.14,293.3,67.15,4.37,0,0
2016-01-01 17:00:00,4.45,187.87,298.57,62.69,4.52,0,0
2016-01-01 18:00:00,5.14,191.41,301.72,58.9,2.16,0,0
2016-01-01 19:00:00,5.48,136.67,300.1,50.41,2.7,0,0
2016-01-01 20:00:00,5.5,117.65,295.34,48.75,3.12,0,0
2016-01-01 21:00:00,5.6,104.58,286.54,43.7,2.45,0,0
2016-01-01 22:00:00,5.36,28.55,287.25,44.17,1.84,0,0
2016-01-01 23:00:00,4.94,0.39,271.57,46.05,2.86,0,0
2016-01-02 00:00:00,4.53,0,248.12,46.33,2.92,0,0
2016-01-02 01:00:00,3.53,0,235.32,46.71,2.51,0,0
2016-01-02 02:00:00,2.76,0,233.06,49.75,1.88,0,0
2016-01-02 03:00:00,2.22,0,229.63,54.08,3.96,0,0
2016-01-02 04:00:00,1.55,0,227.63,56.13,2.51,0,0
2016-01-02 05:00:00,0.81,0,227.84,58.43,2.07,0,0
2016-01-02 06:00:00,0.92,0,225.76,60.29,5.05,0,0
2016-01-02 07:00:00,0.72,0,227.85,60.9,4,0,0
2016-01-02 08:00:00,0.44,0,228.81,63.03,4.48,0,0
2016-01-02 09:00:00,0.4,0,229.03,62.94,6.16,0,0
2016-01-02 10:00:00,0.28,0,230.18,63.85,3.59,0,0
2016-01-02 11:00:00,0.19,0,230.94,63.16,3.21,0,0
2016-01-02 12:00:00,0.33,0,230.43,62.36,4.57,0,0
2016-01-02 13:00:00,0.29,2.13,228.8,62.33,5.19,0,0
2016-01-02 14:00:00,-0.02,22.61,226.84,66.05,6.4,0,0
2016-01-02 15:00:00,1.19,207.62,229.37,59.71,5.24,0,0
2016-01-02 16:00:00,2.67,446.52,231.58,51.3,4.1,0,0
2016-01-02 17:00:00,4.45,537.22,235.67,47.69,4.14,0,0
2016-01-02 18:00:00,6.01,561.84,237.86,39.81,3.12,0,0
2016-01-02 19:00:00,7.38,516.85,237.57,38.12,1.95,0,0
2016-01-02 20:00:00,8.58,419.85,240.51,34.24,1.92,0,0
2016-01-02 21:00:00,9.08,141.18,246.83,28.96,2.46,0,0
2016-01-02 22:00:00,8.79,16.02,251.81,27.9,2.21,0,0
2016-01-02 23:00:00,7.63,0.43,248.82,31.32,1.95,0,0
2016-01-03 00:00:00,5,0,240.88,49.02,2.57,0,0
2016-01-03 01:00:00,4.74,0,243.17,50.15,2.3,0,0
2016-01-03 02:00:00,5.03,0,240.09,47.36,3.28,0,0
2016-01-03 03:00:00,4.15,0,236.76,51.16,3.76,0,0
2016-01-03 04:00:00,3.54,0,234.02,53.76,4.08,0,0
2016-01-03 05:00:00,3.48,0,232.29,51.01,2.84,0,0
2016-01-03 06:00:00,2.91,0,232.08,52.21,1.64,0,0
2016-01-03 07:00:00,2.66,0,230.18,52.32,3.06,0,0
2016-01-03 08:00:00,2.61,0,227.69,51.53,4.84,0,0
2016-01-03 09:00:00,2.17,0,226.66,53.62,5.02,0,0
2016-01-03 10:00:00,1.9,0,225.72,54.09,5.21,0,0
2016-01-03 11:00:00,1.8,0,226.3,53.71,4.76,0,0
2016-01-03 12:00:00,2.37,0,228.23,50.43,4.86,0,0
2016-01-03 13:00:00,2.04,1.49,227.34,53.04,4.82,0,0
2016-01-03 14:00:00,1.87,20.42,230.34,54.78,3.65,0,0
2016-01-03 15:00:00,2.89,203.15,235.39,52.84,3.53,0,0
2016-01-03 16:00:00,4.93,449.79,237.1,46.39,2.96,0,0
2016-01-03 17:00:00,6.37,538.79,238.5,41.21,2.91,0,0
2016-01-03 18:00:00,8.49,565.18,241.87,33.59,2.21,0,0
2016-01-03 19:00:00,10.12,505.16,246.02,27.2,2.93,0,0
2016-01-03 20:00:00,10.54,430.44,244.74,24.78,2.35,0,0
2016-01-03 21:00:00,10.42,149.85,250.44,26.54,2.47,0,0
2016-01-03 22:00:00,9.57,21.36,257.04,27.29,1.63,0,0
2016-01-03 23:00:00,8.97,0.71,258.07,33.43,2.36,0,0
2016-01-04 00:00:00,8.66,0,260.9,34.54,1.92,0,0
