time,FLOW
2016-01-01,0.08349999
2016-01-02,0.08449999
2016-01-03,0.08249999
2016-01-04,0.08079999
2016-01-05,0.07799999
2016-01-06,0.07529999
2016-01-07,0.07169999
2016-01-08,0.06829999
2016-01-09,0.06719999
2016-01-10,0.07979999
2016-01-11,0.07929999
2016-01-12,0.07619999
2016-01-13,0.07439999
2016-01-14,0.06189999
2016-01-15,0.06059999
2016-01-16,0.07429999
2016-01-17,0.07269999
2016-01-18,0.07639999
2016-01-19,0.07669999
2016-01-20,0.05959999
2016-01-21,0.05429999
2016-01-22,0.05889999
2016-01-23,0.08659999
2016-01-24,0.08349999
2016-01-25,0.07259999
2016-01-26,0.06439999
2016-01-27,0.06219999
2016-01-28,0.06959999
2016-01-29,0.06299999
2016-01-30,0.05589999
2016-01-31,0.06029999
2016-02-01,0.05959999
2016-02-02,0.08639999
2016-02-03,0.10259999
2016-02-04,0.11489999
2016-02-05,0.10549999
2016-02-06,0.09769999
2016-02-07,0.09509999
2016-02-08,0.09469999
2016-02-09,0.09599999
2016-02-10,0.09739999
2016-02-11,0.09679999
2016-02-12,0.09269999
2016-02-13,0.09679999
2016-02-14,0.09469999
2016-02-15,0.09259999
2016-02-16,0.11499999
2016-02-17,0.10769999
2016-02-18,0.10119999
2016-02-19,0.09649999
2016-02-20,0.09669999
2016-02-21,0.10329999
2016-02-22,0.10549999
2016-02-23,0.10539999
2016-02-24,0.10749999
2016-02-25,0.11659999
2016-02-26,0.10719999
2016-02-27,0.10069999
2016-02-28,0.09849999
2016-02-29,0.09859999
2016-03-01,0.09439999
2016-03-02,0.10019999
2016-03-03,0.09719999
2016-03-04,0.09649999
2016-03-05,0.09539999
2016-03-06,0.09549999
2016-03-07,0.09399999
2016-03-08,0.09289999
2016-03-09,0.09289999
2016-03-10,0.09139999
2016-03-11,0.09249999
2016-03-12,0.09029999
2016-03-13,0.08829999
2016-03-14,0.09199999
2016-03-15,0.10689999
2016-03-16,0.09899999
2016-03-17,0.09719999
2016-03-18,0.09649999
2016-03-19,0.09689999
2016-03-20,0.09389999
2016-03-21,0.09999999
2016-03-22,0.09389999
2016-03-23,0.09349999
2016-03-24,0.09059999
2016-03-25,0.09129999
2016-03-26,0.09199999
2016-03-27,0.08889999
2016-03-28,0.09159999
2016-03-29,0.09239999
2016-03-30,0.09049999
2016-03-31,0.08749999
2016-04-01,0.09139999
2016-04-02,0.08929999
2016-04-03,0.09309999
2016-04-04,0.08879999
2016-04-05,0.09149999
2016-04-06,0.08809999
2016-04-07,0.08909999
2016-04-08,0.09029999
2016-04-09,0.09199999
2016-04-10,0.09079999
2016-04-11,0.08749999
2016-04-12,0.08809999
2016-04-13,0.08839999
2016-04-14,0.08829999
2016-04-15,0.08799999
2016-04-16,0.08759999
2016-04-17,0.08719999
2016-04-18,0.08869999
2016-04-19,0.09059999
2016-04-20,0.08839999
2016-04-21,0.08579999
2016-04-22,0.08749999
2016-04-23,0.08859999
2016-04-24,0.08619999
2016-04-25,0.08429999
2016-04-26,0.08349999
2016-04-27,0.08299999
2016-04-28,0.08079999
2016-04-29,0.08019999
2016-04-30,0.07649999
