time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2015-07-08 00:00:00,25.1,83.29,406.38,79.66,0.66,0,0
2015-07-08 01:00:00,25.05,11.91,410.32,74.43,0.8,0,0
2015-07-08 02:00:00,23.25,0,399.69,86.18,0.87,0,0
2015-07-08 03:00:00,22.14,0,376.51,90.79,0.81,0,0
2015-07-08 04:00:00,21.33,0,378.13,93.13,1.16,0,0
2015-07-08 05:00:00,20.93,0,379.88,94.77,1,0,0
2015-07-08 06:00:00,20.71,0,378.54,95.04,1.03,0,0
2015-07-08 07:00:00,20.5,0,376.2,95.28,1.12,0,0
2015-07-08 08:00:00,20.57,0,387.89,93,1.55,0,0
2015-07-08 09:00:00,21.63,0.12,398.89,83.55,1.23,0,0
2015-07-08 10:00:00,23.6,0.03,402.93,70.26,2.09,0,0
2015-07-08 11:00:00,24.12,7.14,409.71,70.04,3.65,0,0
2015-07-08 12:00:00,23.16,44.52,414.53,76.16,3.83,0,0
2015-07-08 13:00:00,22.37,66.95,417.99,83.43,3.52,0,0
2015-07-08 14:00:00,22.04,128.83,417.64,87.27,2.06,0,0
2015-07-08 15:00:00,22.55,194.22,418.65,86.56,1.36,0,0
2015-07-08 16:00:00,22.73,205.09,415.18,89.11,0.49,0,0
2015-07-08 17:00:00,24.9,546.9,414.71,77.68,1.52,0,0
2015-07-08 18:00:00,25.59,345.33,418.11,76.12,1.75,0,0
2015-07-08 19:00:00,25.03,215.52,418.05,77.71,1.69,0,0
2015-07-08 20:00:00,25.18,267.14,417.52,77.25,1.36,0,0
2015-07-08 21:00:00,25.22,240.07,418.54,76.01,1.9,0,0
2015-07-08 22:00:00,24.72,179.62,416.19,79.22,1.46,0,0
2015-07-08 23:00:00,24.49,105.6,415.58,78.11,1.99,0,0
2015-07-09 00:00:00,24.25,21.11,422.39,78.19,2.67,0,0
2015-07-09 01:00:00,23.56,2.21,416.64,80.98,3.15,0,0
2015-07-09 02:00:00,23.33,0,419.48,82.98,2.3,0,0
2015-07-09 03:00:00,22.82,0,421.57,88.18,1.92,0,0
2015-07-09 04:00:00,22.71,0,417.38,89.37,1.58,0,0
2015-07-09 05:00:00,22.9,0,413.72,84.72,2.31,0,0
2015-07-09 06:00:00,23.05,0,398.86,80.06,1.92,0,0
2015-07-09 07:00:00,22.91,0,378.96,79.91,2.64,0,0
2015-07-09 08:00:00,23.19,0,378.67,78.76,3.59,0,0
2015-07-09 09:00:00,23.07,0,376.65,82.58,3.62,0,0
2015-07-09 10:00:00,22.52,0,377.96,85.91,2.89,0,0
2015-07-09 11:00:00,22.6,11.23,371.65,85.21,3.92,0,0
2015-07-09 12:00:00,23.1,47.32,372.78,83.42,3.27,0,0
2015-07-09 13:00:00,24.02,265.93,373.43,78.87,3.34,0,0
2015-07-09 14:00:00,25.42,328.73,373.79,73.8,2.2,0,0
2015-07-09 15:00:00,26.76,726.98,379.68,67.65,2.12,0,0
2015-07-09 16:00:00,27.93,847.93,384.43,60.94,2.67,0,0
2015-07-09 17:00:00,28.96,958.17,387.59,54.3,2.9,0,0
2015-07-09 18:00:00,30.03,977.08,387.96,48.78,2.62,0,0
2015-07-09 19:00:00,30.9,946.5,392.59,46.48,2.23,0,0
2015-07-09 20:00:00,31.05,847.87,395.02,46.81,2.44,0,0
2015-07-09 21:00:00,31.22,669.74,397.47,43.81,2.82,0,0
2015-07-09 22:00:00,29.68,188.12,432.9,46.49,2.33,0,0
2015-07-09 23:00:00,28.87,284.6,409.09,53.61,1.88,0,0
2015-07-10 00:00:00,27.04,56.37,413.84,64.9,2.07,0,0
2015-07-10 01:00:00,27.6,17.52,403.89,56.26,1.87,0,0
2015-07-10 02:00:00,26.59,0,402.43,56.94,2.26,0,0
2015-07-10 03:00:00,26.15,0,396.53,57.44,2.78,0,0
2015-07-10 04:00:00,25.79,0,390.53,60.62,2.89,0,0
2015-07-10 05:00:00,25.24,0,389.99,67.38,2.69,0,0
2015-07-10 06:00:00,24.56,0,386.84,71.28,1.96,0,0
2015-07-10 07:00:00,24.23,0,408.33,73.07,1.34,0,0
2015-07-10 08:00:00,24.24,0,391.18,73.21,1.78,0,0
2015-07-10 09:00:00,23.88,0,384.52,73.93,1.82,0,0
2015-07-10 10:00:00,23.71,0,401.4,73.73,1.51,0,0
2015-07-10 11:00:00,23.21,12.68,399.85,76.9,1.44,0,0
2015-07-10 12:00:00,23.6,67.14,408.48,75.37,0.86,0,0
2015-07-10 13:00:00,23.6,136.73,401.21,77.02,1.86,0,0
2015-07-10 14:00:00,24.23,244.58,398.16,76.81,1.26,0,0
2015-07-10 15:00:00,25.35,485.26,393.56,72.79,1.91,0,0
2015-07-10 16:00:00,26.56,789.33,397.77,67.2,2.7,0,0
2015-07-10 17:00:00,27.73,894.26,401.69,62.07,2.08,0,0
2015-07-10 18:00:00,28.23,804.83,405.36,56.81,2.32,0,0
2015-07-10 19:00:00,29.12,744.91,407.04,54.09,1.91,0,0
2015-07-10 20:00:00,29.23,599.99,413.97,53.87,2,0,0
2015-07-10 21:00:00,29.36,513.68,409.63,52.38,2.16,0,0
2015-07-10 22:00:00,29.79,542.55,390.63,50.72,1.85,0,0
2015-07-10 23:00:00,28.38,331.21,389.98,63.03,1.89,0,0
2015-07-11 00:00:00,25.62,77.61,400.06,72.61,4.68,0,0
2015-07-11 01:00:00,23.57,12.15,373.78,72.86,4.73,0,0
2015-07-11 02:00:00,22.75,0,372.02,75.84,3.06,0,0
2015-07-11 03:00:00,22.22,0,373.32,77.31,2.63,0,0
2015-07-11 04:00:00,21.4,0,378.33,84.37,2.74,0,0
2015-07-11 05:00:00,20.98,0,389.8,86.99,2.37,0,0
2015-07-11 06:00:00,21.08,0,406.12,87.27,2.04,0,0
2015-07-11 07:00:00,20.97,0,410.74,89.96,1.72,0,0
2015-07-11 08:00:00,21.11,0,414.93,89.39,2.67,0,0
2015-07-11 09:00:00,20.6,0,412.81,93.87,3.02,0,0
2015-07-11 10:00:00,20.54,0,402.7,94.66,1.75,0,0
2015-07-11 11:00:00,20.58,5.53,391.34,94.63,2.19,0,0
2015-07-11 12:00:00,21,58.84,404,91.62,3.47,0,0
2015-07-11 13:00:00,21.44,202.4,393.84,90.17,3.05,0,0
2015-07-11 14:00:00,23.32,336.23,386.99,82.32,1.8,0,0
2015-07-11 15:00:00,24.08,632.07,392.38,76.75,5.81,0,0
2015-07-11 16:00:00,24.27,741.1,392.05,75.66,4.88,0,0
2015-07-11 17:00:00,23.78,656.11,391.94,75.86,3.33,0,0
2015-07-11 18:00:00,24.57,888.89,384.94,73.14,2.45,0,0
2015-07-11 19:00:00,25.32,838.41,380.66,68.51,2.81,0,0
2015-07-11 20:00:00,26,826.08,386.6,67.85,2.19,0,0
2015-07-11 21:00:00,26.36,481.97,395.49,65.61,1.46,0,0
2015-07-11 22:00:00,26.58,419.71,390.97,67.07,1.41,0,0
2015-07-11 23:00:00,26.05,226.96,382.01,70.7,0.92,0,0
2015-07-12 00:00:00,24.67,88.58,381.72,78.05,0.95,0,0
2015-07-12 01:00:00,24.12,22.17,389.38,78.06,1.37,0,0
2015-07-12 02:00:00,22.78,0,374.88,86.73,0.79,0,0
2015-07-12 03:00:00,22.35,0,399.72,86.69,0.96,0,0
2015-07-12 04:00:00,21.97,0,388.93,86.58,1.09,0,0
2015-07-12 05:00:00,21.43,0,364.3,86.68,1.11,0,0
2015-07-12 06:00:00,20.67,0,387.7,91.77,0.69,0,0
2015-07-12 07:00:00,20.77,0,402.49,91.86,0.44,0,0
2015-07-12 08:00:00,20.06,0,361.07,94.15,0.76,0,0
2015-07-12 09:00:00,19.27,0,373.87,96.23,1.15,0,0
2015-07-12 10:00:00,19.14,0,367.79,96.17,1.22,0,0
