time,FLOW
2015-07-08,0.04089999
2015-07-09,0.03999999
2015-07-10,0.03409999
2015-07-11,0.03149999
2015-07-12,0.02869999
2015-07-13,0.06469999
2015-07-14,0.07269999
2015-07-15,0.05969999
2015-07-16,0.04899999
2015-07-17,0.04309999
2015-07-18,0.04219999
2015-07-19,0.04199999
2015-07-20,0.03909999
2015-07-21,0.03429999
2015-07-22,0.02939999
2015-07-23,0.02599999
2015-07-24,0.02449999
2015-07-25,0.02319999
2015-07-26,0.02189999
2015-07-27,0.02069999
2015-07-28,0.02149999
2015-07-29,0.02959999
2015-07-30,0.02479999
2015-07-31,0.02279999
2015-08-01,0.02029999
2015-08-02,0.01829999
2015-08-03,0.01679999
2015-08-04,0.01549999
2015-08-05,0.01469999
2015-08-06,0.01349999
2015-08-07,0.01349999
2015-08-08,0.01309999
2015-08-09,0.01219999
2015-08-10,0.01129999
2015-08-11,0.02769999
2015-08-12,0.02329999
2015-08-13,0.02169999
2015-08-14,0.02049999
2015-08-15,0.01929999
2015-08-16,0.01849999
2015-08-17,0.01739999
2015-08-18,0.01609999
2015-08-19,0.01639999
2015-08-20,0.01589999
2015-08-21,0.01469999
2015-08-22,0.01309999
2015-08-23,0.01229999
2015-08-24,0.01169999
2015-08-25,0.00989999
2015-08-26,0.01089999
2015-08-27,0.01189999
2015-08-28,0.01119999
2015-08-29,0.01049999
2015-08-30,0.00989999
2015-08-31,0.00969999
2015-09-01,0.00939999
2015-09-02,0.00889999
2015-09-03,0.00819999
2015-09-04,0.01209999
2015-09-05,0.01659999
2015-09-06,0.01579999
2015-09-07,0.01459999
2015-09-08,0.01379999
2015-09-09,0.01299999
2015-09-10,0.01239999
2015-09-11,0.01199999
2015-09-12,0.01069999
2015-09-13,0.00959999
2015-09-14,0.00759999
2015-09-15,0.00629999
2015-09-16,0.00559999
2015-09-17,0.00529999
2015-09-18,0.00479999
2015-09-19,0.00439999
2015-09-20,0.00389999
2015-09-21,0.01439999
2015-09-22,0.02529999
2015-09-23,0.02179999
2015-09-24,0.02019999
2015-09-25,0.01869999
2015-09-26,0.03109999
2015-09-27,0.06019999
2015-09-28,0.06729999
2015-09-29,0.11749999
2015-09-30,0.09889999
2015-10-01,0.08049999
2015-10-02,0.08359999
2015-10-03,0.10549999
2015-10-04,0.09649999
2015-10-05,0.08529999
2015-10-06,0.07799999
2015-10-07,0.07669999
2015-10-08,0.07589999
2015-10-09,0.07529999
2015-10-10,0.07609999
2015-10-11,0.07579999
2015-10-12,0.07599999
2015-10-13,0.07559999
2015-10-14,0.07479999
2015-10-15,0.07819999
2015-10-16,0.07959999
2015-10-17,0.07979999
2015-10-18,0.08029999
2015-10-19,0.07829999
2015-10-20,0.07589999
2015-10-21,0.06939999
2015-10-22,0.06219999
2015-10-23,0.05449999
2015-10-24,0.04459999
2015-10-25,0.04039999
2015-10-26,0.03639999
2015-10-27,0.03739999
2015-10-28,0.09629999
2015-10-29,0.08969999
2015-10-30,0.07789999
2015-10-31,0.07769999
2015-11-01,0.08029999
2015-11-02,0.07609999
2015-11-03,0.07559999
2015-11-04,0.06959999
2015-11-05,0.06749999
2015-11-06,0.06479999
2015-11-07,0.05889999
2015-11-08,0.05389999
