"time","FLOW","TEMP","SALT","TRC_tr1","TRC_age","NCS_ss1","NCS_ss2","OXY_oxy","CAR_dic","CAR_pH","CAR_ch4","CAR_ch4_bub","SIL_rsi","NIT_amm","NIT_nit","PHS_frp","PHS_frp_ads","OGM_doc","OGM_poc","OGM_don","OGM_pon","OGM_dop","OGM_pop","OGM_docr","OGM_donr","OGM_dopr","OGM_cpom","PHY_cyano","PHY_cyano_IN","PHY_cyano_IP","PHY_green","PHY_green_IN","PHY_green_IP","PHY_diatom","PHY_diatom_IN","PHY_diatom_IP","BIV_filtfrac"
2013-05-16,0.0149,15.3482,0,1,0,1,1,294.251,66.6476,6.88,0.0115,0,120.9013,0.388,0.7258,0.1369,0.0274,14.9875,21.7319,1.1762,2.3525,0.0211,0.4918,202.3314,10.5861,0.1897,21.7319,0,0,0,0,0,0,0,0,0,0
2013-05-17,0.0148,15.2935,0,1,0,1,1,294.5978,66.6588,6.88,0.0121,0,120.9013,0.3788,0.7435,0.1374,0.0275,14.9862,21.73,1.1746,2.3492,0.0219,0.5118,202.3136,10.5712,0.1974,21.73,0,0,0,0,0,0,0,0,0,0
2013-05-18,0.0163,14.8761,0,1,0,1,1,297.2686,66.67,6.88,0.0126,0,120.9013,0.3695,0.7611,0.1379,0.0276,14.9849,21.7281,1.1729,2.3459,0.0228,0.5318,202.2958,10.5564,0.2051,21.7281,0,0,0,0,0,0,0,0,0,0
2013-05-19,0.026,14.6267,0,1,0,1,1,298.8856,66.6811,6.88,0.0132,0,120.9013,0.3603,0.7788,0.1384,0.0277,14.9836,21.7262,1.1713,2.3426,0.0236,0.5518,202.2779,10.5416,0.2128,21.7262,0,0,0,0,0,0,0,0,0,0
2013-05-20,0.0373,14.3916,0,1,0,1,1,300.4239,66.6923,6.88,0.0138,0,120.9013,0.3511,0.7965,0.1389,0.0278,14.9822,21.7242,1.1696,2.3393,0.0245,0.5718,202.2601,10.5267,0.2206,21.7242,0,0,0,0,0,0,0,0,0,0
2013-05-21,0.0262,15.3217,0,1,0,1,1,294.4194,66.7035,6.88,0.0143,0,120.9013,0.3418,0.8141,0.1394,0.0279,14.9809,21.7223,1.168,2.336,0.0254,0.5918,202.2423,10.5119,0.2283,21.7223,0,0,0,0,0,0,0,0,0,0
2013-05-22,0.0204,16.0209,0,1,0,1,1,290.0446,66.7146,6.88,0.0149,0,120.9013,0.3326,0.8318,0.1399,0.028,14.9796,21.7204,1.1663,2.3327,0.0262,0.6118,202.2245,10.4971,0.236,21.7204,0,0,0,0,0,0,0,0,0,0
2013-05-23,0.0195,15.6654,0,1,0,1,1,292.2542,66.7258,6.88,0.0154,0,120.9013,0.3234,0.8495,0.1404,0.0281,14.9783,21.7185,1.1647,2.3294,0.0271,0.6318,202.2067,10.4823,0.2437,21.7185,0,0,0,0,0,0,0,0,0,0
2013-05-24,0.0184,13.6083,0,1,0,1,1,305.652,66.737,6.88,0.016,0,120.9013,0.3141,0.8671,0.1409,0.0282,14.977,21.7166,1.163,2.3261,0.0276,0.645,202.1889,10.4674,0.2488,21.7166,0,0,0,0,0,0,0,0,0,0
2013-05-25,0.016,11.8221,0,1,0,1,1,318.2012,66.7481,6.88,0.0162,0,120.9013,0.3049,0.8848,0.1414,0.0283,14.9756,21.7147,1.1614,2.3228,0.0282,0.6582,202.1711,10.4526,0.2539,21.7147,0,0,0,0,0,0,0,0,0,0
2013-05-26,0.0149,12.7024,0,1,0,1,1,311.9045,66.7593,6.88,0.0163,0,120.9013,0.2956,0.9025,0.1419,0.0284,14.9743,21.7128,1.1598,2.3195,0.0288,0.6714,202.1533,10.4378,0.259,21.7128,0,0,0,0,0,0,0,0,0,0
2013-05-27,0.014,13.0189,0,1,0,1,1,309.6947,66.7705,6.88,0.0164,0,120.9013,0.2864,0.9201,0.1424,0.0285,14.973,21.7108,1.1581,2.3162,0.0293,0.6846,202.1354,10.423,0.2641,21.7108,0,0,0,0,0,0,0,0,0,0
2013-05-28,0.014,14.8891,0,1,0,1,1,297.1853,66.7816,6.88,0.0165,0,120.9013,0.2772,0.9378,0.1429,0.0286,14.9717,21.7089,1.1565,2.3129,0.0299,0.6978,202.1176,10.4081,0.2692,21.7089,0,0,0,0,0,0,0,0,0,0
2013-05-29,0.0138,16.2523,0,1,0,1,1,288.6227,66.7928,6.88,0.0166,0,120.9013,0.2679,0.9555,0.1434,0.0287,14.9704,21.707,1.1548,2.3096,0.0305,0.711,202.0998,10.3933,0.2743,21.707,0,0,0,0,0,0,0,0,0,0
2013-05-30,0.0131,16.8169,0,1,0,1,1,285.2045,66.804,6.88,0.0168,0,120.9013,0.2587,0.9731,0.1439,0.0288,14.969,21.7051,1.1532,2.3063,0.031,0.7243,202.082,10.3785,0.2794,21.7051,0,0,0,0,0,0,0,0,0,0
2013-05-31,0.0142,17.0898,0,1,0,1,1,283.5781,66.8152,6.88,0.017,0,120.9013,0.2494,0.9908,0.1444,0.0289,14.9677,21.7032,1.1515,2.303,0.0309,0.7216,202.0642,10.3637,0.2784,21.7032,0,0,0,0,0,0,0,0,0,0
2013-06-01,0.0135,17.2943,0,1,0,1,1,282.3703,66.8263,6.88,0.0238,0,120.9013,0.2402,1.0084,0.1449,0.029,14.9664,21.7013,1.1499,2.2997,0.0308,0.719,202.0464,10.3488,0.2773,21.7013,0,0,0,0,0,0,0,0,0,0
