time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2015-07-07 20:00,28.4,606.53,416.45,61.3,1.73,0,0
2015-07-07 21:00,27.97,483.51,408.9,62.6,1.41,0,0
2015-07-07 22:00,26.74,238.13,406.91,70.28,0.74,0,0
2015-07-07 23:00,25.1,83.29,406.85,79.66,0.66,0,0
2015-07-08 00:00,25.05,11.91,401.4,74.43,0.8,0,0
2015-07-08 01:00,23.25,0,391.49,86.18,0.87,0,0
2015-07-08 02:00,22.13,0,385.3,90.79,0.81,0,0
2015-07-08 03:00,21.33,0,382.83,93.13,1.16,0,0
2015-07-08 04:00,20.94,0,379.73,94.77,1,0,0
2015-07-08 05:00,20.71,0,383.26,95.04,1.03,0,0
2015-07-08 06:00,20.5,0,383.25,95.28,1.12,0,0
2015-07-08 07:00,20.57,0,380.69,93,1.55,0,0
2015-07-08 08:00,21.63,0,381.57,83.55,1.23,0,0
2015-07-08 09:00,23.6,0,379.37,70.26,2.09,0,0
2015-07-08 10:00,24.12,7.14,371.74,70.04,3.65,0,0
2015-07-08 11:00,23.16,44.52,372.96,76.16,3.83,0,0
2015-07-08 12:00,22.37,66.95,381.2,83.43,3.52,0.00122,0
2015-07-08 13:00,22.04,128.83,393.77,87.27,2.06,0.00122,0
2015-07-08 14:00,22.55,194.22,399.87,86.56,1.36,0.00122,0
2015-07-08 15:00,22.73,205.09,409.66,89.11,0.49,0,0
2015-07-08 16:00,24.9,546.9,414.12,77.68,1.52,0,0
2015-07-08 17:00,25.59,345.32,417.99,76.12,1.75,0,0
2015-07-08 18:00,25.03,215.52,423.21,77.71,1.69,0,0
2015-07-08 19:00,25.18,267.14,425.42,77.25,1.36,0,0
2015-07-08 20:00,25.22,240.07,408.74,76.01,1.9,0,0
2015-07-08 21:00,24.72,179.62,403.46,79.22,1.46,0,0
2015-07-08 22:00,24.49,105.6,401.67,78.11,1.99,0,0
2015-07-08 23:00,24.25,21.11,402.82,78.19,2.67,0,0
2015-07-09 00:00,23.56,2.21,399.55,80.98,3.15,0,0
2015-07-09 01:00,23.32,0,392.66,82.98,2.3,0,0
2015-07-09 02:00,22.82,0,385.77,88.18,1.92,0.00122,0
2015-07-09 03:00,22.71,0,383.6,89.37,1.58,0,0
2015-07-09 04:00,22.9,0,383.26,84.72,2.31,0,0
2015-07-09 05:00,23.05,0,383.28,80.06,1.92,0,0
2015-07-09 06:00,22.91,0,381.44,79.91,2.64,0,0
2015-07-09 07:00,23.19,0,380.38,78.76,3.59,0,0
2015-07-09 08:00,23.07,0,380.11,82.58,3.62,0,0
2015-07-09 09:00,22.52,0,381.46,85.91,2.89,0,0
2015-07-09 10:00,22.6,11.23,383.69,85.21,3.92,0,0
2015-07-09 11:00,23.1,47.32,386.27,83.42,3.27,0,0
2015-07-09 12:00,24.02,265.93,390.73,78.87,3.34,0,0
2015-07-09 13:00,25.42,328.73,398.95,73.8,2.2,0,0
2015-07-09 14:00,26.76,726.98,407.88,67.65,2.12,0,0
2015-07-09 15:00,27.94,847.93,411.43,60.94,2.67,0,0
2015-07-09 16:00,28.96,958.17,415.12,54.3,2.9,0,0
2015-07-09 17:00,30.03,977.08,416.83,48.78,2.62,0,0
2015-07-09 18:00,30.9,946.5,410.34,46.48,2.23,0,0
2015-07-09 19:00,31.05,847.87,405.37,46.81,2.44,0,0
2015-07-09 20:00,31.22,669.74,408.98,43.81,2.82,0,0
2015-07-09 21:00,29.68,188.12,406.32,46.49,2.33,0,0
2015-07-09 22:00,28.87,284.6,411.2,53.61,1.88,0,0
2015-07-09 23:00,27.04,56.37,411.95,64.9,2.07,0,0
2015-07-10 00:00,27.6,17.52,401.95,56.26,1.87,0,0
2015-07-10 01:00,26.59,0,394.9,56.94,2.26,0,0
2015-07-10 02:00,26.15,0,394.85,57.44,2.78,0,0
2015-07-10 03:00,25.79,0,390.68,60.62,2.89,0,0
2015-07-10 04:00,25.24,0,379.49,67.38,2.69,0,0
2015-07-10 05:00,24.56,0,380.59,71.28,1.96,0,0
2015-07-10 06:00,24.23,0,377.24,73.07,1.34,0,0
2015-07-10 07:00,24.24,0,376.64,73.21,1.78,0,0
2015-07-10 08:00,23.88,0,377.27,73.93,1.82,0,0
2015-07-10 09:00,23.71,0,377.12,73.73,1.51,0,0
2015-07-10 10:00,23.21,12.68,374.45,76.9,1.44,0,0
2015-07-10 11:00,23.6,67.14,373.11,75.37,0.86,0,0
2015-07-10 12:00,23.6,136.72,377.16,77.02,1.86,0,0
2015-07-10 13:00,24.23,244.58,390.74,76.81,1.26,0,0
2015-07-10 14:00,25.35,485.26,396.25,72.78,1.91,0,0
2015-07-10 15:00,26.56,789.33,403.35,67.2,2.7,0,0
2015-07-10 16:00,27.73,894.26,409.78,62.07,2.08,0,0
2015-07-10 17:00,28.23,804.82,411.03,56.81,2.32,0,0
2015-07-10 18:00,29.12,744.91,410.94,54.09,1.91,0,0
2015-07-10 19:00,29.23,599.99,410.61,53.87,2,0,0
2015-07-10 20:00,29.36,513.68,410.52,52.38,2.16,0,0
2015-07-10 21:00,29.79,542.55,417.22,50.72,1.85,0,0
2015-07-10 22:00,28.38,331.21,411.58,63.03,1.89,0,0
2015-07-10 23:00,25.62,77.61,408.7,72.61,4.68,0,0
2015-07-11 00:00,23.57,12.15,402.81,72.86,4.73,0,0
2015-07-11 01:00,22.75,0,395.2,75.84,3.06,0,0
2015-07-11 02:00,22.22,0,393.96,77.31,2.63,0,0
2015-07-11 03:00,21.4,0,393.17,84.37,2.74,0,0
2015-07-11 04:00,20.98,0,392.68,86.99,2.37,0,0
2015-07-11 05:00,21.08,0,386.22,87.27,2.04,0,0
2015-07-11 06:00,20.97,0,381.06,89.96,1.72,0,0
2015-07-11 07:00,21.11,0,381.08,89.38,2.67,0.00975,0
2015-07-11 08:00,20.6,0,382.43,93.87,3.02,0.00853,0
2015-07-11 09:00,20.54,0,380.29,94.66,1.75,0,0
2015-07-11 10:00,20.58,5.54,381.84,94.62,2.19,0,0
2015-07-11 11:00,21,58.84,384.35,91.62,3.47,0,0
2015-07-11 12:00,21.44,202.4,387.45,90.17,3.05,0,0
2015-07-11 13:00,23.32,336.23,398.96,82.32,1.8,0,0
2015-07-11 14:00,24.08,632.07,398.49,76.75,5.81,0,0
2015-07-11 15:00,24.26,741.1,404.32,75.66,4.88,0,0
2015-07-11 16:00,23.78,656.11,410.23,75.86,3.33,0,0
2015-07-11 17:00,24.57,888.89,418.22,73.14,2.45,0,0
2015-07-11 18:00,25.32,838.41,423.37,68.51,2.81,0,0
2015-07-11 19:00,26,826.08,412.11,67.85,2.19,0,0
2015-07-11 20:00,26.36,481.97,417.35,65.61,1.46,0,0
2015-07-11 21:00,26.58,419.71,417.62,67.06,1.41,0,0
2015-07-11 22:00,26.06,226.96,420.03,70.7,0.92,0,0
2015-07-11 23:00,24.67,88.58,414.26,78.05,0.95,0,0
2015-07-12 00:00,24.12,22.17,406.07,78.06,1.37,0,0
