time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow
2015-07-08 00:00:00,25.1,83.29,406.38,79.66,0,0,0
2015-07-08 01:00:00,25.05,11.91,410.32,74.43,0,0,0
2015-07-08 02:00:00,23.25,0,399.69,86.18,0,0,0
2015-07-08 03:00:00,22.14,0,376.51,90.79,0,0,0
2015-07-08 04:00:00,21.33,0,378.13,93.13,0,0,0
2015-07-08 05:00:00,20.93,0,379.88,94.77,0,0,0
2015-07-08 06:00:00,20.71,0,378.54,95.04,0,0,0
2015-07-08 07:00:00,20.5,0,376.2,95.28,0,0,0
2015-07-08 08:00:00,20.57,0,387.89,93,0,0,0
2015-07-08 09:00:00,21.63,0.12,398.89,83.55,0,0,0
2015-07-08 10:00:00,23.6,0.03,402.93,70.26,0,0,0
2015-07-08 11:00:00,24.12,7.14,409.71,70.04,0,0,0
2015-07-08 12:00:00,23.16,44.52,414.53,76.16,0,0,0
2015-07-08 13:00:00,22.37,66.95,417.99,83.43,0,0,0
2015-07-08 14:00:00,22.04,128.83,417.64,87.27,0,0,0
2015-07-08 15:00:00,22.55,194.22,418.65,86.56,0,0,0
2015-07-08 16:00:00,22.73,205.09,415.18,89.11,0,0,0
2015-07-08 17:00:00,24.9,546.9,414.71,77.68,0,0,0
2015-07-08 18:00:00,25.59,345.33,418.11,76.12,0,0,0
2015-07-08 19:00:00,25.03,215.52,418.05,77.71,0,0,0
2015-07-08 20:00:00,25.18,267.14,417.52,77.25,0,0,0
2015-07-08 21:00:00,25.22,240.07,418.54,76.01,0,0,0
2015-07-08 22:00:00,24.72,179.62,416.19,79.22,0,0,0
2015-07-08 23:00:00,24.49,105.6,415.58,78.11,0,0,0
2015-07-09 00:00:00,24.25,21.11,422.39,78.19,0,0,0
2015-07-09 01:00:00,23.56,2.21,416.64,80.98,0,0,0
2015-07-09 02:00:00,23.33,0,419.48,82.98,0,0,0
2015-07-09 03:00:00,22.82,0,421.57,88.18,0,0,0
2015-07-09 04:00:00,22.71,0,417.38,89.37,0,0,0
2015-07-09 05:00:00,22.9,0,413.72,84.72,0,0,0
2015-07-09 06:00:00,23.05,0,398.86,80.06,0,0,0
2015-07-09 07:00:00,22.91,0,378.96,79.91,0,0,0
2015-07-09 08:00:00,23.19,0,378.67,78.76,0,0,0
2015-07-09 09:00:00,23.07,0,376.65,82.58,0,0,0
2015-07-09 10:00:00,22.52,0,377.96,85.91,0,0,0
2015-07-09 11:00:00,22.6,11.23,371.65,85.21,0,0,0
2015-07-09 12:00:00,23.1,47.32,372.78,83.42,0,0,0
