time,FLOW
2016-01-01,0.124
2016-01-02,0.124
2016-01-03,0.124
2016-01-04,0.124
2016-01-05,0.124
2016-01-06,0.124
2016-01-07,0.124
2016-01-08,0.124
2016-01-09,0.124
2016-01-10,0.124
2016-01-11,0.124
2016-01-12,0.124
2016-01-13,0.124
2016-01-14,0.124
2016-01-15,0.124
2016-01-16,0.124
2016-01-17,0.124
2016-01-18,0.124
2016-01-19,0.124
2016-01-20,0.124
2016-01-21,0.124
2016-01-22,0.124
2016-01-23,0.124
2016-01-24,0.124
2016-01-25,0.124
2016-01-26,0.124
2016-01-27,0.124
2016-01-28,0.124
2016-01-29,0.124
2016-01-30,0.124
2016-01-31,0.124
